,Surname,Caste/Community/Ethnicity,Clan/Sub-caste/Gotra
70,Bhul/Bhool,Dalit,Mijar
71,Bhusal,Bahun,
72,Bhusal,Magar,Rana
73,Bhurtel/Bhurtyal,Bahun,Garga (Purbiya)
74,Bidari,Bahun,
75,Bikral,Bahun,
76,Birkatta,Magar,Thapa
77,Bisen,Tarai-Hindu,Rajput
78,Bishwokarma,Dalit,Bishwokarma
79,Bista,Bahun,(Kumai)
80,Bista/Bisht,Khas-Chhetri,
81,Biswas,Tharu,
82,Blon,Tamang,
83,Bogati,Khas-Chhetri,
84,Bohra/Bohara,Khas-Chhetri,
85,Boksha,Tharu,
86,Boktan,Tharu,
87,Bomjan,Tamang,
88,Bote,Tharu,
89,Brachey,Sunuwar,
90,Buda,Magar,
91,Budha,Chhetri,
92,Budhaer/Budhair,Khas-Chhetri,
93,Budhatoki,Khas-Chhetri,
94,Bura,Khas-Chhetri,
95,Burathoki,Magar,
96,Camkhala,Newar-Dalit,Chami
97,Chaelengarten,Tamang,
98,Chalise,Bahun,Bashista (Purbiya)
99,Chamar,Tarai-Dalit,Chamar
100,Chami,Newar-Dalit,Chami
101,Chamlagain,Bahun,
102,Chamlinge,Rai,
103,Chand,Thakuri,
104,Chandra,Thakuri,
105,Chapagain,Bahun,Atreya (Jaisi)
106,Charmakar,Dalit,Mijar
107,Chataut,Bahun,
108,Chaturvedi,Tarai-Brahman,
109,Chauden,Tamang,
110,Chaudhari,Tharu,
111,Chaudhari/Chaudhary,Tarai-Brahman,
112,Chauhan,Thakuri,
113,Chaulagain,Bahun,Bharadwaj (Kumai)
114,Chaurasiya,Rai,
115,Chataut,Bahun,(Kumai)
116,Chavey,Sunuwar,
117,Chhetri,Khas-Chhetri,
118,Chhungpate,Jirel,
119,Chidimar,Tarai-Dalit,
120,Chik,Muslim,
121,Chitauniya,Tharu,
122,Chitrakar,Newar,Pum
123,Chobeguhang,Limbu,
124,Chongbang,Limbu,
125,Chunanra,Dalit,Bishwokarma
126,Churihar,Muslim,
127,Chyame,Newar-Dalit,Chyame
